Quarter,Year,Sales
Q1,2000,694513
Q2,2000,751698
Q3,2000,745556
Q4,2000,791509
Q1,2001,704201
Q2,2001,778035
Q3,2001,754174
Q4,2001,825858
Q1,2002,715763
Q2,2002,789424
Q3,2002,790861
Q4,2002,832504
Q1,2003,740281
Q2,2003,818714
Q3,2003,829866
Q4,2003,873870
Q1,2004,794451
Q2,2004,870242
Q3,2004,871982
Q4,2004,936373
Q1,2005,835173
Q2,2005,930721
Q3,2005,938735
Q4,2005,984654
Q1,2006,894722
Q2,2006,984763
Q3,2006,975835
Q4,2006,1016253
Q1,2007,921266
Q2,2007,1013371
Q3,2007,1000151
Q4,2007,1060394
Q1,2008,950280
Q2,2008,1028067
Q3,2008,999873
Q4,2008,957285
Q1,2009,828728
Q2,2009,905656
Q3,2009,911593
Q4,2009,966970
Q1,2010,876229
Q2,2010,961240
Q3,2010,951077
Q4,2010,1030295
Q1,2011,943664
Q2,2011,1034497
Q3,2011,1026969
Q4,2011,1097057
Q1,2012,1015585
Q2,2012,1078508
Q3,2012,1067067
Q4,2012,1141069
Q1,2013,1040447
Q2,2013,1121857
Q3,2013,1117781
Q4,2013,1178918
Q1,2014,1061563
Q2,2014,1176975
Q3,2014,1169173
Q4,2014,1228634
Q1,2015,1081022
Q2,2015,1189836
Q3,2015,1188363
Q4,2015,1249081
Q1,2016,1116632
Q2,2016,1215205
Q3,2016,1204302
Q4,2016,1315101
